account_id,user_id,account_type,balance,status
1,25,Business,394142.72,Dormant
2,50,Business,308312.3,Active
3,3,Salary,499572.55,Active
4,9,Business,423909.77,Active
5,47,Current,280397.44,Active
6,11,Salary,181394.68,Active
7,13,Salary,180004.17,Dormant
8,7,Business,477716.73,Active
9,67,Savings,12593.75,Active
10,47,Business,345709.97,Dormant
11,37,Savings,170499.3,Suspended
12,49,Salary,389940.45,Active
13,28,Business,63187.78,Frozen
14,21,Savings,234404.83,Active
15,21,Savings,460907.9,Dormant
16,31,Savings,272408.34,Active
17,53,Current,407852.68,Dormant
18,27,Business,98065.51,Suspended
19,59,Salary,233853.49,Active
20,19,Current,172673.95,Suspended
21,19,Salary,452158.87,Suspended
22,19,Business,182640.37,Frozen
23,66,Business,131576.98,Active
24,35,Salary,71231.86,Active
25,49,Savings,166565.83,Active
26,57,Current,168844.16,Active
27,61,Salary,395417.72,Frozen
28,75,Current,334522.37,Active
29,21,Salary,263538.98,Dormant
30,8,Savings,392520.93,Dormant
31,34,Savings,25392.29,Active
32,66,Salary,45952.04,Frozen
33,25,Business,324001.94,Frozen
34,26,Business,200734.7,Active
35,14,Business,202408.14,Active
36,1,Current,170213.85,Active
37,41,Salary,309925.84,Suspended
38,43,Current,277423.37,Active
39,2,Current,285990.6,Suspended
40,73,Savings,13990.72,Active
41,19,Savings,55252.64,Active
42,10,Current,468927.78,Suspended
43,2,Salary,466477.77,Suspended
44,12,Current,303295.78,Dormant
45,41,Savings,334522.89,Active
46,48,Current,120311.16,Frozen
47,71,Savings,277900.69,Suspended
48,73,Current,157769.28,Active
49,33,Business,123217.51,Active
50,55,Current,481338.62,Active
51,76,Business,266228.67,Active
52,13,Current,399960.57,Active
53,21,Salary,202926.61,Dormant
54,50,Salary,330970.2,Frozen
55,42,Business,73386.44,Dormant
56,46,Current,63505.95,Active
57,18,Savings,134434.48,Active
58,16,Savings,375948.43,Dormant
59,37,Current,382667.54,Dormant
60,42,Current,236512.17,Active
61,36,Salary,307410.29,Suspended
62,16,Salary,112670.99,Suspended
63,79,Business,490898.97,Active
64,26,Current,421919.1,Suspended
65,77,Current,31259.31,Active
66,52,Salary,316473.11,Dormant
67,54,Business,283378.34,Active
68,58,Business,211800.0,Active
69,5,Business,340147.16,Active
70,64,Salary,98554.14,Dormant
71,13,Business,490215.47,Active
72,48,Salary,191662.54,Suspended
73,11,Current,459915.49,Frozen
74,80,Savings,337950.56,Active
75,15,Savings,136889.79,Active
76,4,Current,381233.95,Suspended
77,39,Current,100521.22,Active
78,35,Savings,360534.15,Suspended
79,66,Savings,390309.34,Active
80,16,Salary,38978.95,Frozen
81,67,Salary,319777.39,Suspended
82,29,Salary,438847.76,Frozen
83,32,Business,132337.93,Suspended
84,4,Current,229161.42,Active
85,44,Salary,470350.22,Active
86,38,Savings,277560.68,Active
87,36,Salary,41528.9,Dormant
88,12,Current,415873.65,Active
89,19,Current,213154.17,Active
90,29,Current,119198.66,Active
91,25,Business,145440.78,Dormant
92,63,Salary,76007.46,Active
93,71,Savings,114119.81,Frozen
94,42,Current,126397.59,Suspended
95,73,Business,173056.24,Active
96,17,Business,91932.94,Active
97,74,Salary,113891.26,Active
98,59,Salary,260987.52,Suspended
99,6,Savings,94906.24,Active
100,44,Business,121138.43,Active
101,30,Savings,191218.29,Active
102,48,Savings,208967.25,Active
103,61,Current,50125.65,Dormant
104,66,Savings,497649.63,Dormant
105,37,Business,214538.37,Suspended
106,63,Salary,340527.41,Active
107,62,Salary,91926.66,Active
108,37,Savings,211307.04,Suspended
109,19,Current,22122.55,Active
110,67,Salary,211836.57,Suspended
111,31,Business,14793.01,Active
112,64,Salary,251055.8,Active
113,26,Current,287576.87,Dormant
114,54,Salary,25302.39,Suspended
115,68,Savings,124213.8,Suspended
116,65,Salary,311982.05,Active
117,77,Current,397148.85,Active
118,28,Savings,131682.74,Active
119,52,Current,77075.49,Suspended
120,55,Savings,236425.79,Frozen
121,48,Current,257394.36,Active
122,71,Savings,213167.0,Active
123,72,Business,396219.21,Active
124,45,Business,449800.93,Active
125,58,Business,465058.76,Active
126,20,Savings,477780.69,Suspended
127,5,Business,117747.66,Active
128,7,Current,265360.79,Dormant
129,76,Business,466484.32,Dormant
130,45,Salary,94567.41,Active
