device_id,device_type,ip_address,location
1,Mobile,22.128.104.162,Singapore
2,ATM Machine,158.65.165.94,Chicago
3,Mobile,221.146.79.73,Singapore
4,Mobile,95.209.24.161,San Francisco
5,POS Terminal,141.60.36.75,Hyderabad
6,ATM Machine,78.182.243.150,Munich
7,Mobile,165.208.155.4,Manchester
8,Tablet,201.237.236.33,London
9,Desktop,149.59.201.197,Manchester
10,Mobile,163.60.213.247,Mumbai
11,POS Terminal,196.213.168.7,Dubai
12,Mobile,158.208.17.210,Manchester
13,POS Terminal,131.58.185.73,Berlin
14,Mobile,212.53.121.102,Dubai
15,Mobile,153.18.132.12,Berlin
16,Tablet,129.57.71.123,Hyderabad
17,Mobile,170.138.86.211,Singapore
18,Laptop,193.18.39.187,Manchester
19,Desktop,52.238.98.233,Hyderabad
20,Mobile,165.228.110.69,Berlin
21,Tablet,111.221.151.7,Singapore
22,Desktop,216.13.65.86,Dallas
23,POS Terminal,174.136.174.114,Abu Dhabi
24,Laptop,146.96.145.101,Berlin
25,Laptop,155.87.44.111,Dubai
26,Desktop,216.60.227.161,London
27,Laptop,180.141.255.9,Berlin
28,Tablet,139.150.190.56,London
29,Mobile,166.9.152.194,Manchester
30,Tablet,159.188.25.139,Abu Dhabi
31,Mobile,207.70.222.57,San Francisco
32,ATM Machine,163.29.22.64,Berlin
33,Desktop,210.245.77.3,Manchester
34,POS Terminal,190.133.221.14,New York
35,POS Terminal,96.231.23.65,Abu Dhabi
36,POS Terminal,199.172.37.19,Singapore
37,POS Terminal,139.47.78.32,Munich
38,Mobile,193.25.117.6,New York
39,Desktop,197.0.237.122,Berlin
40,Tablet,135.85.25.100,Delhi
41,Laptop,128.137.130.246,Singapore
42,Tablet,129.18.122.156,Singapore
43,Desktop,184.111.43.186,Bangalore
44,Mobile,55.194.143.70,Singapore
45,Mobile,75.162.214.67,Berlin
46,ATM Machine,119.247.218.157,Chennai
47,Mobile,49.193.61.26,Abu Dhabi
48,POS Terminal,85.61.98.45,Chicago
49,POS Terminal,160.15.93.146,London
50,Tablet,41.15.132.18,Singapore
51,Tablet,181.49.148.151,Dubai
52,Laptop,137.7.232.70,Munich
53,POS Terminal,218.210.180.88,Dubai
54,ATM Machine,219.147.88.220,Abu Dhabi
55,POS Terminal,210.151.182.92,Hyderabad
56,POS Terminal,187.53.43.62,Singapore
57,Desktop,192.180.6.5,Berlin
58,ATM Machine,212.113.242.17,London
59,Tablet,169.27.202.230,Dallas
60,Mobile,54.180.56.114,Berlin
