alert_id,transaction_id,account_id,user_id,alert_type,alert_date,risk_score
1,133,43,2,Foreign Transaction,2024-02-14 11:19:44,44.51
2,34,125,58,Rapid Transactions,2025-01-15 22:18:43,51.99
3,223,85,44,Rapid Transactions,2024-07-30 08:51:40,86.68
4,58,71,13,Multiple Failed Logins,2024-09-14 22:31:19,43.43
5,257,91,25,Multiple Failed Logins,2024-12-26 08:58:24,80.05
6,205,121,48,Foreign Transaction,2024-10-19 08:36:41,82.63
7,26,39,2,Suspicious Location,2024-02-15 05:49:38,86.93
8,10,130,45,Rapid Transactions,2024-04-22 11:53:19,43.99
9,243,102,48,Rapid Transactions,2024-05-19 22:57:49,49.29
10,225,130,45,Foreign Transaction,2025-03-15 03:29:01,51.13
11,279,70,64,Device Mismatch,2024-01-23 10:41:13,50.13
12,203,94,42,High Amount,2024-09-04 10:00:33,40.01
13,239,45,41,Rapid Transactions,2024-02-18 09:04:41,77.44
14,46,85,44,Rapid Transactions,2024-02-20 23:46:37,65.07
15,77,44,12,Suspicious Location,2024-01-23 19:10:03,53.6
16,198,101,30,Multiple Failed Logins,2024-04-02 12:46:23,46.73
17,43,37,41,Device Mismatch,2024-04-28 22:08:36,85.07
18,177,96,17,Device Mismatch,2024-09-10 23:25:18,77.85
19,178,48,73,Rapid Transactions,2025-03-15 09:37:43,77.86
20,153,55,42,Multiple Failed Logins,2025-01-08 19:37:24,65.77
21,6,23,66,Device Mismatch,2024-11-08 23:51:20,82.61
22,127,32,66,Device Mismatch,2024-09-27 10:36:41,57.19
23,47,58,16,Foreign Transaction,2024-09-04 05:22:55,80.79
24,140,12,49,Multiple Failed Logins,2024-06-26 16:33:02,40.22
25,295,26,57,Device Mismatch,2024-08-06 20:07:09,57.44
26,120,111,31,Device Mismatch,2024-03-27 05:51:38,43.52
27,288,79,66,Device Mismatch,2024-10-28 19:35:34,85.14
28,219,100,44,High Amount,2024-01-20 11:01:58,61.27
29,148,54,50,Rapid Transactions,2024-09-09 01:53:09,88.71
30,155,17,53,Device Mismatch,2024-01-28 17:50:53,55.86
31,173,81,67,Foreign Transaction,2024-01-01 13:10:25,60.26
32,79,28,75,Rapid Transactions,2024-04-17 02:24:15,60.35
33,145,37,41,Rapid Transactions,2025-03-26 21:11:35,71.47
34,207,41,19,High Amount,2025-04-17 16:16:51,51.02
35,280,129,76,High Amount,2024-01-25 21:01:31,48.64
36,276,51,76,High Amount,2025-02-09 09:55:50,88.88
37,232,92,63,Foreign Transaction,2025-02-20 10:21:35,56.26
38,4,99,6,Device Mismatch,2024-02-11 02:56:18,61.97
39,61,17,53,Suspicious Location,2024-04-29 22:32:03,52.29
40,156,37,41,Foreign Transaction,2024-06-05 06:01:50,90.94
41,78,78,35,Rapid Transactions,2024-09-06 15:10:36,59.9
42,83,117,77,Rapid Transactions,2024-07-22 00:14:26,63.24
43,76,108,37,Foreign Transaction,2024-05-02 17:39:09,53.08
44,181,67,54,Device Mismatch,2025-03-13 13:29:22,68.71
45,18,97,74,Rapid Transactions,2024-03-11 18:31:30,80.61
46,180,93,71,Foreign Transaction,2024-02-24 15:03:59,58.5
47,164,64,26,Device Mismatch,2024-12-14 08:48:41,66.34
48,301,45,41,Foreign Transaction,2024-07-11 12:56:07,47.03
49,25,115,68,Device Mismatch,2024-05-21 21:55:36,51.58
50,95,75,15,Suspicious Location,2024-06-10 06:26:30,86.6
51,204,17,53,Device Mismatch,2024-06-19 23:32:33,62.37
52,293,24,35,Foreign Transaction,2024-03-23 09:23:11,56.14
53,235,52,13,Foreign Transaction,2024-09-19 23:16:14,48.86
54,115,3,3,Foreign Transaction,2024-06-21 09:33:26,47.32
55,112,90,29,Multiple Failed Logins,2025-03-20 10:44:45,60.88
56,8,35,14,Foreign Transaction,2024-12-13 20:40:02,89.8
57,292,11,37,Device Mismatch,2024-10-24 11:42:43,69.07
58,85,120,55,High Amount,2024-07-13 17:14:48,49.9
59,91,57,18,Suspicious Location,2024-11-22 08:44:31,45.5
60,64,130,45,Rapid Transactions,2024-09-29 17:25:03,71.05
61,147,85,44,Device Mismatch,2024-03-14 15:47:12,67.29
62,117,118,28,High Amount,2024-01-13 14:57:20,61.59
63,184,118,28,Suspicious Location,2024-06-29 07:35:27,61.62
64,114,102,48,Multiple Failed Logins,2024-05-16 12:17:56,46.8
65,102,27,61,Multiple Failed Logins,2024-07-02 12:07:07,81.11
