risk_id,user_id,score,risk_level,last_updated
1,1,81.57,Critical,2024-09-07 20:35:00
2,2,19.9,Low,2025-02-27 06:46:00
3,3,34.4,Low,2024-11-18 04:42:05
4,4,20.89,Low,2024-11-06 01:24:06
5,5,57.67,Medium,2024-08-18 10:36:18
6,6,41.28,Medium,2024-04-30 04:53:23
7,7,71.25,High,2024-08-09 01:58:23
8,8,23.01,Low,2024-08-04 07:21:07
9,9,31.22,Low,2024-08-26 08:31:05
10,10,64.99,High,2025-04-26 19:32:53
11,11,59.26,Medium,2024-11-18 16:05:11
12,12,39.99,Medium,2024-01-30 16:10:21
13,13,47.56,Medium,2024-06-04 14:29:24
14,14,95.89,Critical,2024-09-10 10:08:19
15,15,28.0,Low,2025-04-09 02:40:46
16,16,35.33,Medium,2025-02-27 21:00:46
17,17,24.85,Low,2024-04-28 17:11:32
18,18,88.51,Critical,2024-07-13 06:06:53
19,19,55.98,Medium,2024-08-04 14:23:55
20,20,32.9,Low,2024-12-18 23:53:02
21,21,86.36,Critical,2025-02-26 02:39:08
22,22,90.06,Critical,2025-04-17 00:26:56
23,23,73.29,High,2024-10-31 07:27:37
24,24,26.6,Low,2024-01-07 02:46:52
25,25,72.75,High,2024-09-14 11:44:46
26,26,84.92,Critical,2025-04-23 00:35:11
27,27,97.39,Critical,2024-02-13 04:20:44
28,28,5.6,Low,2024-03-08 05:49:47
29,29,37.44,Medium,2024-06-11 16:48:50
30,30,19.5,Low,2024-04-28 00:51:49
31,31,14.34,Low,2024-09-15 09:01:32
32,32,77.25,High,2024-09-10 08:10:25
33,33,39.48,Medium,2025-01-01 01:40:43
34,34,88.85,Critical,2024-07-21 12:51:40
35,35,86.31,Critical,2025-04-29 09:32:04
36,36,68.74,High,2024-02-07 11:12:09
37,37,69.69,High,2024-11-17 22:16:31
38,38,14.54,Low,2024-08-16 03:48:46
39,39,30.04,Low,2024-07-27 01:37:00
40,40,60.61,High,2024-10-06 04:18:54
41,41,40.53,Medium,2025-01-04 20:53:14
42,42,23.6,Low,2025-03-14 01:16:41
43,43,25.58,Low,2024-08-06 10:52:19
44,44,19.8,Low,2024-11-05 11:49:03
45,45,75.03,High,2024-09-23 06:18:37
46,46,41.93,Medium,2024-05-17 13:12:38
47,47,11.21,Low,2024-06-27 00:36:22
48,48,96.67,Critical,2024-08-04 16:26:49
49,49,75.97,High,2024-03-09 17:54:49
50,50,51.06,Medium,2024-01-19 05:55:45
51,51,65.24,High,2025-03-07 19:38:46
52,52,21.93,Low,2024-03-19 19:20:33
53,53,46.02,Medium,2024-11-01 12:05:44
54,54,64.23,High,2025-01-15 01:17:08
55,55,69.98,High,2024-07-11 03:45:56
56,56,67.66,High,2025-03-02 04:57:38
57,57,29.54,Low,2025-04-29 10:33:26
58,58,36.87,Medium,2025-04-05 20:22:56
59,59,52.11,Medium,2024-03-30 11:47:54
60,60,63.87,High,2024-06-12 03:11:26
61,61,97.49,Critical,2024-11-19 10:44:44
62,62,89.2,Critical,2024-11-17 03:39:53
63,63,70.57,High,2024-10-30 11:16:27
64,64,74.04,High,2024-08-24 07:47:43
65,65,16.92,Low,2024-11-26 00:07:51
66,66,16.7,Low,2024-11-22 15:26:29
67,67,79.97,High,2024-11-22 10:20:57
68,68,64.32,High,2024-11-24 16:20:19
69,69,82.83,Critical,2025-04-17 09:28:38
70,70,31.55,Low,2024-01-19 14:09:14
71,71,7.43,Low,2024-01-27 16:03:23
72,72,89.18,Critical,2024-07-26 07:46:31
73,73,77.77,High,2024-08-20 04:22:07
74,74,47.21,Medium,2024-08-07 17:22:32
75,75,85.17,Critical,2024-05-10 13:49:19
76,76,34.49,Low,2025-04-14 15:55:31
77,77,5.03,Low,2024-03-28 05:50:23
78,78,24.45,Low,2024-01-19 12:20:12
79,79,66.31,High,2024-04-08 20:06:17
80,80,83.62,Critical,2024-02-24 00:50:04
