transaction_id,account_id,transaction_date,amount,transaction_type,location,device_id
1,114,2024-08-21 02:28:41,30405.22,Transfer,London,49
2,73,2025-02-12 12:00:11,47774.3,Bill Payment,Berlin,13
3,78,2024-12-10 02:15:28,60685.0,Purchase,Munich,52
4,99,2024-02-11 02:28:18,19988.72,Bill Payment,London,28
5,93,2025-03-13 08:46:39,29482.66,Purchase,New York,34
6,23,2024-11-08 23:10:20,43122.58,Purchase,London,8
7,107,2024-01-27 00:09:11,37077.05,ATM Withdrawal,Singapore,41
8,35,2024-12-13 20:21:02,64839.36,Withdrawal,Abu Dhabi,54
9,86,2024-09-09 18:13:29,80607.18,Bill Payment,Berlin,15
10,130,2024-04-22 11:16:19,4260.59,Transfer,Dubai,51
11,29,2024-09-09 07:41:18,82349.73,Withdrawal,New York,38
12,94,2024-07-28 04:31:12,704.71,Purchase,Munich,52
13,40,2024-12-29 16:15:45,77578.02,Deposit,Abu Dhabi,54
14,68,2024-10-20 14:07:16,35354.3,Withdrawal,Berlin,57
15,95,2024-12-12 18:06:05,15466.01,Deposit,Manchester,33
16,32,2024-04-30 23:46:48,36003.42,Withdrawal,Berlin,20
17,54,2024-09-02 02:49:58,26679.65,Withdrawal,Berlin,24
18,97,2024-03-11 17:51:30,78252.11,ATM Withdrawal,Singapore,41
19,52,2024-06-23 21:55:58,500450.28,Transfer,Dubai,53
20,111,2024-12-22 09:13:57,48915.89,Bill Payment,Berlin,24
21,129,2024-10-23 02:44:10,51461.05,Transfer,Dubai,11
22,30,2024-10-01 23:11:46,517160.21,Withdrawal,Manchester,33
23,69,2024-01-07 10:03:47,57356.61,Bill Payment,Chicago,48
24,122,2024-11-19 22:25:14,49747.12,Deposit,Berlin,15
25,115,2024-05-21 20:59:36,75010.68,Transfer,Abu Dhabi,54
26,39,2024-02-15 05:09:38,45728.83,Bill Payment,Singapore,44
27,23,2024-02-12 18:52:57,29967.44,Withdrawal,Singapore,17
28,2,2024-09-09 06:17:04,34081.28,Withdrawal,London,49
29,116,2024-11-07 08:26:50,73694.87,ATM Withdrawal,London,49
30,95,2024-09-22 21:23:10,35702.19,Bill Payment,Singapore,36
31,93,2024-09-13 22:51:06,70177.96,ATM Withdrawal,London,26
32,2,2024-04-26 15:55:38,54327.21,ATM Withdrawal,Abu Dhabi,23
33,49,2024-12-20 20:01:19,65825.9,Bill Payment,Manchester,9
34,125,2025-01-15 21:20:43,23179.89,ATM Withdrawal,Manchester,9
35,57,2024-08-08 09:12:28,78557.47,ATM Withdrawal,Bangalore,43
36,43,2024-09-14 05:52:43,21871.19,Purchase,Hyderabad,19
37,100,2024-12-25 05:59:37,1125.37,Purchase,San Francisco,4
38,16,2024-03-15 01:21:55,65353.01,Transfer,Chicago,2
39,91,2024-06-07 19:15:21,50575.87,Bill Payment,Berlin,45
40,36,2024-08-04 01:48:14,83689.58,Transfer,New York,34
41,67,2024-06-21 23:44:33,10855.41,Deposit,Munich,37
42,128,2024-12-15 22:25:57,36298.79,Transfer,Berlin,60
43,37,2024-04-28 21:10:36,58305.09,Transfer,Singapore,21
44,19,2025-04-17 13:30:33,496069.85,ATM Withdrawal,San Francisco,4
45,115,2024-01-18 23:31:35,78351.07,Transfer,Singapore,44
